ID;login;NlogonAll;calendbinary;filterbinary;Nexport;topic1;Nactive1;topic2;Nactive2;topic3;Nactive3;diffdate;diffbill;fastbill;msignal;avgSectionbinary;avgNullSearchW;avgNullSearchM;avgEmptyStupid;Nlongfilter;NcontractAll;NcontractAllReq;NprotNotAll;NprotNotAllAuction;protContractRatio;is_loyality
100248;1;47;0;1;0;36;81;28;81;75;81;2.17214611872146;0;61;0;0;0.375;0.375;0.5;6;2;0;2;2;1;0
10037;1;507;0;0;0;45;81;45;81;45;81;3.79452054794521;5.140625;08.май;0;0;0;0;0;0;7;0;6;5;1;1
10047;3;46;0;1;0;33;88;33;88;33;88;2.12876712328767;-0.450901803607214;7;0;0.333333333333333;0.5;0.5;1;4;1528;113;2024;1744;0.754940711462451;0
100850;1;144;0;1;0;36;165;36;165;36;165;0.843835616438356;0;06.май;0;0;0;0;0.5;4;6;6;16;0;0.375;0
10088;1;281;0;1;0;24;2198;35;2198;31;2198;1.73926940639269;0;31;0;0.194244604316547;0.266187050359712;0.251798561151079;0.41726618705036;51;5;0;20;5;0.25;0
10122;1;490;0;1;0;14;1418;14;1418;19;1418;0.912328767123288;0.0351906158357771;0.5;0;0.0666666666666667;0.0666666666666667;0;0.0666666666666667;11;46;24;67;13;0.686567164179104;1
101518;1;636;0;1;0;21;170358;21;170358;21;170358;1.98630136986301;1.44099378881988;1;0;0.290697674418605;0.0465116279069767;0.0232558139534884;0.197674418604651;61;10;3;23;13;0.434782608695652;1
10177;1;64;0;1;12;26;178;26;178;70;178;0.997260273972603;0.0861538461538462;3;0;0.111111111111111;0.222222222222222;0.111111111111111;0.222222222222222;7;0;0;1;0;0;0
10180;1;802;0;1;4;16;26598;16;26598;28;26598;1;1.39461883408072;1;0;0;0.0697674418604651;0.0232558139534884;0.534883720930233;22;281;28;428;155;0.656542056074766;0
102041;1;40;0;1;0;62;52;62;52;72;52;0.731506849315068;0.25177304964539;5;0;0;0;0;0.5;0;176;12;89;19;1;0
102426;1;290;1;1;0;27;1184;27;1184;26;1184;0.923287671232877;0.926470588235294;11;0;0.0882352941176471;0.205882352941176;0.147058823529412;0.117647058823529;12;1;0;0;0;0;1
